Date,Time,Exercise,Reps
2025-11-04,01:48:56,Shoulder External Rotation (Distance),142
"2025-11-04,09:38:54",Adapted Burpees,16
"2025-11-04,10:03:20",Seated Wood Chop,15
"2025-11-04,10:10:44",Seated Wood Chop,4
"2025-11-04,10:25:51",In & Out Curl,3
"2025-11-04,10:28:18",In & Out Both Arms,9
"2025-11-04,10:42:05",Side Reach (Both Hands),4
"2025-11-04,10:46:21",Side Reach (Single Arm Counting),21
2025-11-04,11:02:03,Adapted Burpees,0
2025-11-04,11:02:10,Adapted Burpees,0
